gx,gy,gz,ax,ay,az,tmp
-59,580,-2,-304,7,3890,28.52
-52,744,-3,-326,6,3912,28.54
-42,872,0,-326,12,3925,28.54
-47,970,11,-295,10,3928,28.54
-52,1044,38,-224,7,3941,28.53
-52,1139,82,-229,9,3921,28.51
-47,1283,114,-243,7,3913,28.53
-42,1445,144,-241,2,3915,28.53
-47,1619,177,-292,1,3894,28.53
-41,1823,179,-384,-11,3875,28.53
-27,2045,158,-439,-7,3892,28.52
-14,2256,121,-532,-16,3864,28.53
0,2484,62,-493,-10,3894,28.53
5,2595,40,-443,2,3927,28.53
6,2648,31,-447,8,3939,28.53
13,2628,25,-474,1,3952,28.55
10,2573,25,-485,-4,3964,28.54
2,2503,23,-495,0,3967,28.55
1,2438,26,-508,10,3959,28.54
-3,2367,21,-515,18,3958,28.54
-6,2282,22,-534,24,3950,28.54
-1,2198,21,-546,12,3963,28.55
-11,2053,6,-603,1,4010,28.56
-23,1711,4,-687,10,4082,28.52
-40,1165,1,-718,23,4112,28.54
-71,574,-6,-710,18,4094,28.52
-88,61,-10,-655,17,4041,28.54
-100,-288,-20,-605,6,3982,28.53
-105,-429,-19,-535,12,3958,28.53
-105,-423,-22,-509,10,3911,28.53
-100,-305,-17,-488,12,3877,28.54
-94,-110,-18,-460,16,3853,28.53
-83,124,-13,-454,2,3843,28.52
-72,400,-7,-454,14,3845,28.54
-61,724,-10,-460,13,3861,28.54
-48,944,-4,-476,8,3875,28.55
-43,1138,0,-485,11,3881,28.53
-44,1341,6,-486,11,3896,28.53
-34,1550,9,-496,9,3879,28.54
-25,1754,14,-495,17,3880,28.54
-14,1954,16,-513,15,3865,28.55
-11,2120,16,-545,15,3880,28.55
-1,2224,21,-567,14,3922,28.53
-5,2279,18,-589,20,3913,28.53
-4,2303,21,-599,14,3916,28.53
-5,2306,20,-614,17,3915,28.52
-7,2291,23,-640,20,3926,28.53
-10,2256,17,-653,20,3949,28.52
-3,2201,18,-661,9,3922,28.53
-2,2147,18,-667,15,3930,28.53
-4,2108,20,-677,5,3928,28.54
-14,2074,21,-682,18,3931,28.53
