gx,gy,gz,ax,ay,az,tmp
-80,81,-18,-322,-7,3954,28.88
-83,81,-14,-330,-7,3974,28.86
-87,82,-14,-331,-8,3953,28.87
-85,78,-13,-330,-9,3950,28.87
-86,82,-17,-320,-11,3948,28.87
-87,79,-16,-324,-4,3942,28.87
-85,77,-14,-335,-7,3944,28.87
-80,79,-15,-325,-13,3924,28.87
-81,79,-17,-326,-27,3947,28.85
-82,80,-18,-325,-14,3947,28.86
-86,81,-17,-319,-12,3938,28.87
-85,81,-13,-318,-8,3941,28.88
-84,73,-10,-322,-8,3951,28.87
-85,71,-17,-323,-2,3941,28.89
-82,77,-15,-331,-8,3954,28.86
-82,78,-12,-327,-8,3948,28.87
-85,76,-14,-323,-4,3949,28.87
-81,75,-13,-323,-17,3946,28.87
-81,81,-12,-329,-5,3935,28.86
-83,79,-15,-326,2,3934,28.85
-85,77,-12,-321,2,3959,28.85
-89,76,-13,-324,-6,3951,28.86
-84,79,-16,-323,-17,3932,28.86
-86,79,-15,-332,-9,3941,28.88
-86,84,-17,-323,-3,3961,28.88
-87,83,-20,-318,-17,3953,28.88
-90,83,-18,-326,-10,3949,28.86
-87,76,-19,-325,-4,3937,28.84
-86,79,-15,-329,-3,3953,28.84
-87,81,-16,-333,-3,3959,28.86
-86,80,-19,-327,-12,3956,28.87
-90,78,-16,-324,-16,3962,28.86
-86,75,-16,-321,-15,3963,28.88
-86,76,-11,-324,-8,3950,28.87
-86,78,-13,-316,-11,3950,28.88
-89,80,-12,-314,-1,3945,28.85
-90,84,-16,-318,-8,3947,28.87
-79,77,-15,-328,-3,3944,28.86
-85,75,-18,-334,-12,3937,28.84
-82,70,-13,-323,-20,3931,28.85
-89,72,-15,-321,-10,3939,28.86
-88,72,-18,-326,-16,3948,28.86
-88,81,-18,-315,-17,3951,28.86
-84,81,-20,-326,-12,3965,28.86
-89,83,-17,-325,-2,3964,28.85
-87,80,-14,-330,-3,3954,28.86
-83,74,-17,-331,-7,3962,28.87
-82,85,-12,-329,-13,3970,28.86
-82,87,-10,-347,-14,3956,28.87
-91,84,-14,-334,-13,3950,28.86
-89,72,-15,-330,-15,3954,28.85
-85,69,-12,-344,0,3955,28.85
-83,76,-10,-348,-10,3959,28.87
-85,76,-14,-322,-3,3959,28.87
-88,75,-16,-330,-1,3948,28.88
-88,82,-13,-324,-3,3961,28.87
-83,77,-17,-330,-5,3939,28.89
-84,80,-14,-327,-4,3933,28.88
-79,74,-18,-325,-6,3945,28.86
-85,83,-19,-320,-9,3951,28.88
-92,75,-19,-325,-5,3959,28.87
-89,77,-14,-317,-4,3954,28.85
-89,81,-14,-320,-13,3948,28.87
-84,74,-13,-332,-15,3952,28.87
-90,76,-16,-332,-15,3950,28.89
-90,75,-14,-321,-13,3947,28.89
-89,75,-17,-325,-9,3944,28.89
-87,79,-16,-322,-7,3938,28.91
-83,82,-16,-326,-9,3945,28.89
-88,77,-17,-315,-6,3945,28.86
-88,71,-14,-313,-6,3942,28.87
-87,73,-15,-305,-11,3943,28.87
-83,77,-17,-309,-11,3944,28.87
-83,77,-10,-322,-8,3946,28.88
-90,77,-14,-326,-9,3940,28.87
-93,77,-9,-319,-9,3934,28.88
-88,84,-13,-327,-20,3942,28.87
-92,90,-11,-331,-22,3947,28.89
-91,85,-13,-334,-20,3949,28.89
-86,78,-13,-327,-20,3952,28.89
-88,74,-12,-319,-17,3955,28.91
-88,75,-13,-336,-15,3950,28.91
-93,71,-16,-331,-22,3949,28.87
-91,68,-16,-326,-17,3951,28.87
-83,69,-16,-332,-9,3942,28.88
-88,69,-17,-323,-10,3935,28.88
-89,76,-14,-334,-6,3941,28.87
-87,79,-22,-325,-1,3943,28.88
-85,80,-18,-319,-3,3953,28.87
-90,90,-15,-327,-6,3954,28.88
-87,87,-15,-318,-8,3951,28.89
-89,77,-16,-327,-13,3952,28.88
-87,77,-17,-317,-22,3943,28.89
-87,77,-12,-322,-14,3949,28.89
-83,73,-16,-333,-14,3938,28.88
-84,82,-16,-339,-6,3942,28.87
-86,91,-20,-337,-9,3952,28.88
-86,87,-21,-329,-20,3938,28.90
-90,81,-17,-330,-26,3934,28.89
-79,76,-20,-325,-15,3941,28.89
-79,70,-13,-322,-5,3944,28.88
-82,74,-13,-321,-11,3938,28.91
-88,74,-17,-318,-11,3934,28.89
-81,73,-17,-323,-13,3930,28.89
-83,70,-14,-326,-5,3935,28.89
-81,72,-16,-322,-3,3956,28.89
-84,77,-16,-325,-11,3956,28.90
-83,81,-13,-321,0,3957,28.90
-83,84,-15,-315,-5,3956,28.89
-89,80,-19,-327,-7,3969,28.87
-86,79,-21,-333,-17,3961,28.87
-91,84,-18,-339,-14,3945,28.89
-89,83,-18,-339,-7,3941,28.91
-91,81,-17,-334,-6,3954,28.90
-90,81,-18,-344,-9,3954,28.89
-88,74,-11,-325,-4,3949,28.89
-85,78,-15,-319,-15,3934,28.89
-82,80,-17,-326,-18,3942,28.88
-86,73,-16,-330,-8,3943,28.89
-86,79,-13,-327,-12,3962,28.88
-85,78,-15,-317,-15,3959,28.87
-83,83,-17,-329,-20,3955,28.90
-85,81,-12,-317,-10,3936,28.90
-85,73,-14,-309,-12,3932,28.89
-85,72,-17,-315,-4,3941,28.89
-87,80,-18,-316,-12,3953,28.90
-85,87,-13,-320,-7,3951,28.90
-83,85,-15,-317,-6,3929,28.89
-81,80,-14,-324,-12,3935,28.90
-86,74,-14,-333,-21,3942,28.90
-85,72,-17,-332,-22,3942,28.89
-86,78,-22,-337,-11,3943,28.89
-84,72,-20,-330,-10,3936,28.88
-82,78,-20,-330,-14,3925,28.91
-84,74,-19,-339,-23,3935,28.90
-88,73,-17,-336,-9,3938,28.88
-89,71,-23,-333,-14,3935,28.92
-88,73,-19,-331,-4,3953,28.92
-87,72,-17,-334,-17,3949,28.90
-85,76,-11,-330,-11,3958,28.90
-86,78,-14,-318,-7,3955,28.90
-87,82,-12,-314,-9,3937,28.92
-84,80,-15,-323,-1,3938,28.91
-84,82,-16,-324,-6,3950,28.88
-87,84,-15,-321,-9,3950,28.89
-83,79,-16,-328,-9,3950,28.91
-86,81,-18,-327,-12,3948,28.92
-85,81,-16,-329,-14,3934,28.91
-90,79,-14,-324,-13,3932,28.92
-85,82,-12,-333,-7,3953,28.92
-91,75,-15,-331,-13,3965,28.90
-86,79,-14,-337,-14,3936,28.89
-85,74,-17,-335,-10,3951,28.91
-85,83,-18,-330,-8,3958,28.90
-86,81,-15,-331,-12,3951,28.90
-82,81,-18,-325,-13,3965,28.91
-80,84,-12,-324,-9,3955,28.89
-87,80,-20,-321,-18,3942,28.89
-89,77,-17,-319,-14,3941,28.91
-91,73,-16,-328,-13,3951,28.92
-83,80,-16,-330,-9,3942,28.92
-85,73,-16,-336,-5,3938,28.91
-79,73,-14,-330,-3,3938,28.92
-81,82,-16,-331,-1,3960,28.91
-84,76,-19,-318,-10,3945,28.90
-84,82,-18,-330,-6,3964,28.91
-86,82,-17,-323,-10,3950,28.92
-87,84,-21,-328,-5,3946,28.93
-88,78,-15,-332,-15,3949,28.92
-87,77,-19,-330,-4,3941,28.91
-83,75,-16,-330,-10,3929,28.91
-86,78,-12,-325,-15,3935,28.92
-84,74,-15,-322,-9,3933,28.89
-85,73,-13,-315,-17,3955,28.92
-89,81,-23,-321,-5,3941,28.89
-87,82,-12,-331,-2,3936,28.91
-89,81,-17,-322,-4,3956,28.92
-87,77,-15,-326,-8,3954,28.92
-87,78,-18,-324,-9,3975,28.92
-87,74,-19,-319,-5,3957,28.93
-86,81,-15,-325,-4,3956,28.92
-83,80,-14,-330,-15,3961,28.92
